doc_id,title,question,answer,source_url,tags
61407421,How to run Neural Network model on Android taking advantage of GPU?,"How to run Neural Network model on Android taking advantage of GPU?

<p>Anyone tried to run object detection or crnn model on Android? I tried to run crnn model (serialized pytorch) but it takes 1s on Huawei P30 lite and 5s on Samsung J4 Core.</p>

<pre><code>Huawei P30 lite
    CPU : octa core processor
    GPU : Mali-G51 MP4

Samsung J4
  CPU : quad core
  GPU : Adreno 308
</code></pre>

<p>GPU's in the android device are different from dedicated GPU in the sense that they don't have VRAM and power management. Both CPU and GPU shares the same RAM. Before running model on PC with GPU we specify to place my computation on GPU like</p>

<pre class=""lang-py prettyprint-override""><code>model = MyModel()
model.cuda()
</code></pre>

<p>But when I try to run model on Android does it take advantage of this built in GPU? or computation is faster in my Huawei because of this octa core processor, but Huawei obviously has better GPU than my Samsung device.</p>","<p>At the moment it is not possible to run pytorch on am ARM-GPU:</p>

<p><a href=""https://github.com/pytorch/android-demo-app/issues/35"" rel=""nofollow noreferrer"">Github Issue</a></p>

<p><a href=""https://discuss.pytorch.org/t/how-can-i-enable-gpu-support-for-torch-mobile-on-android/70937"" rel=""nofollow noreferrer"">PyTorch Forum</a></p>

<p>I think the differences in speed result out of the differnten cpu's!</p>",https://stackoverflow.com/questions/61407421,android|tensorflow|gpu|torchvision|torchscript
56858213,How to create NVIDIA OpenCL project,"How to create NVIDIA OpenCL project

<p>I want to write application in NVIDIA OpenCL in Visual Studio 2017 but don't know how to create project for this purpose. </p>

<p>I have GPU from NVIDIA (GeForce 940M) and Intel (HD Graphics 5500) and already managed to open and run Intel example programs for OpenCL but they have almost one thousand lines of code, so I decided to try NVIDIA OpenCL but don't know how. On some forums they say that I should download CUDA toolkit and it install OpenCL, others say that I should download driver that supports OpenCL but I don't know which driver will be proper. I have already installed CUDA and driver from <a href=""https://www.nvidia.pl/Download/index.aspx?lang=pl"" rel=""noreferrer"">https://www.nvidia.pl/Download/index.aspx?lang=pl</a> but still I have not possibility to create NVIDIA project in OpenCL in Visual Studio.</p>","<p>The OpenCL Runtime is already included in the Nvidia graphics drivers. You only need the OpenCL C++ header files, the <code>OpenCL.lib</code> file and on Linux also the <code>libOpenCL.so</code> file. These come with the CUDA toolkit, but there is no need to install it only to get the 9 necessary files.</p>
<p>Here are the OpenCL C++ header files and the lib file from CUDA toolkit 10.1:
<a href=""https://github.com/ProjectPhysX/OpenCL-Wrapper/tree/master/src/OpenCL"" rel=""nofollow noreferrer"">https://github.com/ProjectPhysX/OpenCL-Wrapper/tree/master/src/OpenCL</a></p>
<p>Download the <code>OpenCL</code> folder and copy it into your project source folder.
Then in your Visual Studio Project, go to &quot;Project Properties -&gt; C/C++ -&gt; General -&gt; Additional Include Directories&quot; and add <code>C:\path\to\your\project\src\OpenCL\include</code>. Then, in &quot;Project Properties -&gt; Linker -&gt; All Options -&gt; Additional Dependencies&quot; add <code>OpenCL.lib;</code> and in &quot;Project Properties -&gt; Linker -&gt; All Options -&gt; Additional Library Directories&quot; add <code>C:\path\to\your\project\src\OpenCL\lib</code>.</p>
<p>Finally, in your <code>.cpp</code> source file, include the headers with <code>#include &lt;CL/cl.hpp&gt;</code>.</p>
<p>This also works for AMD/Intel GPUs and CPUs. It also works on Linux if you compile with:</p>
<pre><code>g++ *.cpp -o Test.exe -I./OpenCL/include -L./OpenCL/lib -lOpenCL
</code></pre>
<hr />
<p>For an easy start with OpenCL, I created a wrapper that vastly simplifies the OpenCL C++ bindings and eliminates the entire code overhead that comes with it. This includes the OpenCL headers and all Visual Studio project settings; no additional setup required:
<a href=""https://github.com/ProjectPhysX/OpenCL-Wrapper"" rel=""nofollow noreferrer"">https://github.com/ProjectPhysX/OpenCL-Wrapper</a></p>",https://stackoverflow.com/questions/56858213,c++|visual-studio|opencl|nvidia
53256405,Howto pass flag to nvcc compiler in CMAKE,"Howto pass flag to nvcc compiler in CMAKE

<p>I have a C project in <code>Cmake</code> in which I have embedded <code>cuda</code> <em>kernel module</em>.</p>

<p>I want to pass <code>--ptxas-options=-v</code> only to <code>nvcc</code> in-order to view 
<em>Number of registers usage per thread</em> and 
<em>shared Memory usage per block</em>.</p>

<p>By searching on howto pass flags to <code>nvcc</code> in <code>Cmake</code>, I came across a solution </p>

<pre><code>add_compile_options(myprog
    PRIVATE
    $&lt;$&lt;COMPILE_LANGUAGE:C&gt;:-Wall&gt;
    $&lt;$&lt;COMPILE_LANGUAGE:CUDA&gt;:-arch=sm_20 -ptxas-options=-v&gt;
)
</code></pre>

<p>but this didn't show me the above properties. I think these flags aren't passed to <code>nvcc</code> properly.</p>

<p>How can I pass <code>--ptxas-options=-v</code> to my <code>nvcc</code> compiler ?</p>","<p>The proper way to set CUDA flags <strong>only on a target</strong> is</p>

<pre><code>target_compile_options(&lt;my_target&gt; PRIVATE $&lt;$&lt;COMPILE_LANGUAGE:CUDA&gt;:my_cuda_option&gt;) 
</code></pre>

<p>This will set the option, via the generator expression, only for files which are compiled for the CUDA language. </p>

<p>Using <code>CMAKE_CUDA_FLAGS</code> as suggested by the other answer sets a global property for all targets, which might or might not be the right approach depending on the use-case.</p>",https://stackoverflow.com/questions/53256405,cmake|cuda|nvcc
55830220,How to get cmake to enable cuda when compiling yolo (darknet)?,"How to get cmake to enable cuda when compiling yolo (darknet)?

<p>I am currently using the cmake-gui to compile yolo darknet at <a href=""https://github.com/AlexeyAB/darknet.git"" rel=""noreferrer"">https://github.com/AlexeyAB/darknet.git</a>. However, it will not enable cuda and I am having a few other odd issues. These include when I run darknet.exe from the Release folder after building it using VS2017, it states that it cannot find pthreadVC2.dll or opencv_world410.dll. </p>

<p>To fix the other issues, I copied the exe and those files and put them all in the root folder of the project. This seems to work but I am not sure why it wouldn't work otherwise. </p>

<p>For cuda, I am not sure what to try. I have these system variables and path:
<a href=""https://i.stack.imgur.com/xSYIO.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/xSYIO.png"" alt=""System Variables""></a>
<a href=""https://i.stack.imgur.com/z3OAj.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/z3OAj.png"" alt=""System Variable Path""></a></p>

<p>Here is my cmake-gui:
<a href=""https://i.stack.imgur.com/RET6P.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/RET6P.png"" alt=""cmake1""></a>
<a href=""https://i.stack.imgur.com/Ui191.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/Ui191.png"" alt=""cmake2""></a></p>

<p>It can be seen that CMAKE_CUDA_COMPILER is NOTFOUND. Which I am thinking is the problem, but I am not sure why it cannot be found. If I run <code>nvcc -V</code> in the command prompt, it returns:</p>

<pre><code>nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2018 NVIDIA Corporation
Built on Sat_Aug_25_21:08:04_Central_Daylight_Time_2018
Cuda compilation tools, release 10.0, V10.0.130
</code></pre>

<p>Also here is the output for cmake configuration:</p>

<pre><code>Selecting Windows SDK version 10.0.17763.0 to target Windows 10.0.17134.
OpenCV ARCH: x64
OpenCV RUNTIME: vc15
OpenCV STATIC: OFF
Found OpenCV 4.1.0 in C:/opencv/build/x64/vc15/lib
You might need to add C:\opencv\build\x64\vc15\bin to your PATH to be able to run your applications.
ZED SDK not enabled, since it requires CUDA
Configuring done
</code></pre>

<p>If you have any tips for any of these problems, please let me know. Just an FYI, currently darknet does work and if I test it on dog.jpg, it successfully detects the classes. However, this is of course without Cuda or cudnn and I would like to use these eventually. Thank you! If you need anything else from me please let me know!</p>","<p>The answer was given by @Andropogon: CUDA has to be reinstalled after Visual Studio.</p>

<p>This is what we found when I dug into it a bit with my colleague:</p>

<ol>
<li>Similar to OP, all compilation steps seemed to run without error and generate an executable.</li>
<li>Taking a closer look at cmake, under CMAKE/CMAKE_CUDA_COMPILER it said <code>NOT FOUND</code>, despite nvcc.exe being on the <code>Path</code>. (<code>nvcc --version</code> runs fine in Powershell.) We manually entered the location of nvcc.exe to this option, and now configure comes up with a more helpful error message: <code>No CUDA toolset found.</code> with reference to line numbers in various cmake files. Among those lines was this message, which seems to confirm that Visual Studio (VS) is part of the problem, </li>
</ol>

<pre><code>    if(NOT CMAKE_VS_PLATFORM_TOOLSET_CUDA)
            message(FATAL_ERROR ""No CUDA toolset found."")
</code></pre>

<p>So after reinstalling CUDA the compilation looked more like I would expect - but I still get an executable which doesn't appear to do anything (no output on the command line, no <code>prediction.jpg</code> generated). Anyway, hopefully that can shed a bit of light on the CUDA/VS/cmake issue.</p>",https://stackoverflow.com/questions/55830220,cmake|cuda|visual-studio-2017|cudnn|yolo
66233462,When does MIO Throttle stall happen?,"When does MIO Throttle stall happen?

<p>According to this link <a href=""https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html"" rel=""nofollow noreferrer"">https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html</a>:</p>
<blockquote>
<p>Warp was stalled waiting for the MIO (memory input/output) instruction
queue to be not full. This stall reason is high in cases of extreme
utilization of the MIO pipelines, which include special math
instructions, dynamic branches, as well as shared memory instructions.</p>
</blockquote>
<p>And according to this one <a href=""https://docs.nvidia.com/drive/drive_os_5.1.12.0L/nsight-graphics/activities/index.html"" rel=""nofollow noreferrer"">https://docs.nvidia.com/drive/drive_os_5.1.12.0L/nsight-graphics/activities/index.html</a>:</p>
<blockquote>
<p>May be triggered by local, global, shared, attribute, IPA, indexed
constant loads (LDC), and decoupled math.</p>
</blockquote>
<p>My understanding is that all memory operations are executed on LSUs, so I would imagine that they are stored on the same instruction queue together and then executed by the LSU unit. Since they are all queued together, the second interpretation (which includes global memory accesses) makes more sense to me. The problem is that if that's the case, LG Throttle would be unnecessary.</p>
<p>What does MIO Throttle actually imply? Are all memory instructions stored on the same queue?</p>","<p>The MIO is a partition in the NVIDIA SM (starting in Maxwell) that contains execution units shared between the 4 warp schedulers or slower math execution units (e.g. XU pipe).</p>
<p>Instructions issued to these execution units are first issued into instruction queues allowing the warp schedulers to continue to issue independent instructions from the warp. If a warp's next instruction is to an instruction queue that is full then the warp is stalled until the queue is not full and the instruction can be enqueued. When this stall occurs the warp will report a throttle reason based upon the instruction queue type. The mapping of instruction queues to pipes differs between chips. This is the general mapping.</p>
<ul>
<li>mio_throttle (ADU, CBU, LSU, XU)</li>
<li>lg_throttle (LSU)
<ul>
<li>lg_throttle is used if MIO instruction queue reaches a watermark for local/global instructions. Throttling local/global instructions early allows SM to continue to issue shared memory instructions when L1 backpressure due to local/global L1 misses.</li>
</ul>
</li>
<li>tex_throttle (TEX, FP64 on non-*100 chips, Tensor on TU11x)</li>
</ul>
<p>If the warp's next instruction to issue is to a sub-partition specific execution unit (FMA, ALU, Tensor, FP64 (*100 GPUs) then the stall reason is math_throttle.</p>",https://stackoverflow.com/questions/66233462,cuda|gpu|nvidia|nsight-compute
52030952,Can nvidia-docker be run without a GPU?,"Can nvidia-docker be run without a GPU?

<p>The official PyTorch <a href=""https://github.com/pytorch/pytorch/blob/master/docker/pytorch/Dockerfile"" rel=""noreferrer"">Docker image</a> is based on <a href=""https://hub.docker.com/r/nvidia/cuda/"" rel=""noreferrer""><code>nvidia/cuda</code></a>, which is able to run on Docker CE, without any GPU. It can also run on <a href=""https://github.com/NVIDIA/nvidia-docker"" rel=""noreferrer"">nvidia-docker</a>, I presume with CUDA support enabled. Is it possible to run nvidia-docker itself on an x86 CPU, without any GPU? Is there a way to build a single Docker image that takes advantage of CUDA support when it is available (e.g. when running inside <code>nvidia-docker</code>) and uses the CPU otherwise? What happens when you use <code>torch.cuda</code> from inside Docker CE? What exactly is the difference between Docker CE and why can't <code>nvidia-docker</code> be merged into Docker CE?</p>","<p><code>nvidia-docker</code> is a shortcut for <code>docker --runtime nvidia</code>. I do hope they merge it one day, but for now it's a 3rd party runtime. They explain what it is and what it does on their <a href=""https://github.com/NVIDIA/nvidia-container-runtime"" rel=""noreferrer"">GitHub page</a>.</p>

<blockquote>
  <p>A modified version of runc adding a custom pre-start hook to all containers.
  If environment variable NVIDIA_VISIBLE_DEVICES is set in the OCI spec, the hook will configure GPU access for the container by leveraging nvidia-container-cli from project libnvidia-container.</p>
</blockquote>

<p>Nothing stops you from running images meant for <code>nvidia-docker</code> with normal <code>docker</code>. They work just fine but if you run something in them that requires the GPU, that will fail.</p>

<p>I don't think you can run <code>nvidia-docker</code> on a machine without a GPU. It won't be able to find the CUDA files it's looking for and will error out.</p>

<p>To create an image that can run on both <code>docker</code> and <code>nvidia-docker</code>, your program inside it needs to be able to know where it's running. I am not sure if there's an official way, but you can try one of the following:</p>

<ul>
<li>Check if <code>nvidia-smi</code> is available</li>
<li>Check if the directory specified in <code>$CUDA_LIB_PATH</code> exists</li>
<li>Check if your program can load the CUDA libraries successfully, and if it can't just fallback</li>
</ul>",https://stackoverflow.com/questions/52030952,docker|cuda|pytorch|nvidia-docker
49887574,How to get 16bit floats in modern GLSL with Vulkan?,"How to get 16bit floats in modern GLSL with Vulkan?

<p>It appears at one point in time Nvidia had an extension that permitted half floating point values for <a href=""https://www.khronos.org/registry/OpenGL/extensions/NV/NV_half_float.txt"" rel=""nofollow noreferrer"">OpenGL <strong>1.1</strong></a>, but apparently since that time *the world <a href=""https://stackoverflow.com/questions/44595137/glsl-half-floating-point-attribute-type"">half has been reclaimed</a> by the modern GLSL spec at some point.  </p>

<p>Today I can use <a href=""https://devblogs.nvidia.com/mixed-precision-programming-cuda-8/"" rel=""nofollow noreferrer"">16bit floating point values in CUDA</a> no problem, there should not be an issue in hardware for NVIDIA to support 16bit floats, and they appear to support them in HLSL, and heck even seem to <a href=""https://github.com/KhronosGroup/SPIRV-Cross/issues/484"" rel=""nofollow noreferrer"">contradictory support them in HLSL cross compilation</a> to SPIR-V while GLSL does not for Nvidia.  It seems like SPIR-V has all the primitives needed to support 16bit floating point regardless with <a href=""https://www.khronos.org/registry/spir-v/specs/unified1/SPIRV.html#_a_id_capability_a_capability"" rel=""nofollow noreferrer"">primary extensions</a> (KHR) so there doesn't seem to be a reason why it should forbid me from using them. </p>

<p>I'm unsure why, despite having an Nvidia card, I can't take advantage of 16bit floating point arithmetic, and am apparently <a href=""https://github.com/KhronosGroup/glslang/blob/master/Test/spv.float16.frag"" rel=""nofollow noreferrer"">forced to use AMD</a> or switch API's entirely if I want to take advantage of that.  Surely there must be some way to actually use true 16bit floating point values for both? </p>

<p>I am NOT asking about host to device allocated buffers (IE vertex buffers). Yes, you can allocate those as 16bit floats with a KHR extension and not have to much of an issue, but inside the actual shader, using 16bit floats, and not 16bit floats coerced to 32 bit floats is what I'm worried about. </p>","<p>You are presumably using glslang the compiler to compile your GLSL to SPIR-V. With that compiler, platform-specific extensions to GLSL aren't <em>really</em> ""platform-specific"". The <em>compiler</em> and the Vulkan receiving the SPIR-V code are what generally matters.</p>

<p>Because GL_AMD_gpu_shader_half_float functionality maps directly to a SPIR-V feature rather than an AMD extension, glslang will output SPIR-V code that uses the <code>Float16</code> capability. So long as the receiving Vulkan implementation offers that <code>Float16</code> capability, you're fine.</p>

